QueryNumber;DocNumber;DocVotes
00001;00139;4
00001;00151;4
00001;00166;1
00001;00311;1
00001;00370;2
00001;00392;1
00001;00439;1
00001;00440;2
00001;00441;4
00001;00454;1
00001;00461;4
00001;00502;1
00001;00503;1
00001;00505;1
00001;00520;2
00001;00522;1
00001;00526;3
00001;00527;2
00001;00533;4
00001;00593;1
00001;00619;1
00001;00737;1
00001;00742;1
00001;00789;1
00001;00827;1
00001;00835;1
00001;00861;1
00001;00875;4
00001;00891;1
00001;00921;2
00001;00922;2
00001;01175;1
00001;01185;1
00001;01222;1
00002;00169;1
00002;00434;2
00002;00454;1
00002;00498;1
00002;00499;1
00002;00592;1
00002;00875;3
00003;00023;1
00003;00040;1
00003;00139;4
00003;00190;1
00003;00221;1
00003;00246;1
00003;00309;1
00003;00311;2
00003;00325;1
00003;00345;1
00003;00347;1
00003;00356;1
00003;00370;2
00003;00374;1
00003;00375;4
00003;00439;1
00003;00440;3
00003;00454;3
00003;00515;1
00003;00520;1
00003;00524;1
00003;00526;2
00003;00527;3
00003;00533;1
00003;00535;1
00003;00560;1
00003;00561;1
00003;00571;1
00003;00584;1
00003;00604;1
00003;00623;1
00003;00633;4
00003;00733;1
00003;00742;2
00003;00854;1
00003;00856;4
00003;00950;1
00003;00967;1
00003;01144;4
00003;01161;1
00003;01172;1
00003;01175;1
00003;01196;1
00004;00503;1
00004;00538;1
00004;00539;1
00004;00540;1
00004;00553;1
00004;00604;4
00004;00669;2
00004;00711;4
00004;00876;4
00005;00023;3
00005;00047;4
00005;00050;1
00005;00060;1
00005;00114;2
00005;00132;1
00005;00135;1
00005;00139;1
00005;00151;4
00005;00169;1
00005;00189;1
00005;00190;1
00005;00197;1
00005;00200;1
00005;00226;1
00005;00256;4
00005;00265;1
00005;00297;1
00005;00298;1
00005;00299;1
00005;00311;1
00005;00312;1
00005;00325;3
00005;00333;1
00005;00343;1
00005;00347;2
00005;00349;1
00005;00369;1
00005;00370;4
00005;00371;1
00005;00374;4
00005;00386;2
00005;00392;1
00005;00410;1
00005;00420;1
00005;00427;1
00005;00428;1
00005;00430;2
00005;00434;1
00005;00437;1
00005;00439;4
00005;00440;1
00005;00441;1
00005;00450;1
00005;00461;3
00005;00465;2
00005;00478;1
00005;00496;3
00005;00497;4
00005;00498;4
00005;00499;4
00005;00500;3
00005;00501;1
00005;00502;1
00005;00503;4
00005;00505;1
00005;00511;3
00005;00513;1
00005;00516;2
00005;00520;1
00005;00524;2
00005;00531;1
00005;00533;4
00005;00549;1
00005;00553;2
00005;00559;1
00005;00561;1
00005;00568;1
00005;00590;1
00005;00592;2
00005;00593;4
00005;00604;1
00005;00605;1
00005;00633;4
00005;00669;1
00005;00701;1
00005;00702;1
00005;00710;4
00005;00711;1
00005;00722;1
00005;00724;1
00005;00729;1
00005;00731;1
00005;00733;1
00005;00750;1
00005;00761;1
00005;00763;1
00005;00772;1
00005;00779;1
00005;00788;1
00005;00805;4
00005;00843;1
00005;00845;1
00005;00856;4
00005;00857;1
00005;00861;4
00005;00864;1
00005;00867;2
00005;00875;4
00005;00876;1
00005;00888;1
00005;00889;1
00005;00895;3
00005;00925;1
00005;00935;1
00005;00943;1
00005;00944;1
00005;00975;4
00005;00980;3
00005;00982;1
00005;00990;1
00005;01000;1
00005;01019;1
00005;01038;1
00005;01040;1
00005;01064;3
00005;01076;1
00005;01080;1
00005;01088;1
00005;01091;1
00005;01092;1
00005;01093;1
00005;01098;1
00005;01144;4
00005;01156;1
00005;01175;3
00005;01185;1
00005;01188;1
00005;01196;1
00005;01223;1
00005;01226;1
00006;00025;1
00006;00031;4
00006;00090;1
00006;00195;1
00006;00326;1
00006;00370;2
00006;00438;1
00006;00440;1
00006;00441;1
00006;00503;3
00006;00511;1
00006;00586;1
00006;00592;2
00006;00593;1
00006;00722;1
00006;00731;1
00006;00734;1
00006;00805;1
00006;00875;3
00006;00922;1
00006;00963;1
00006;00975;2
00006;01092;1
00006;01093;1
00007;00045;1
00007;00053;1
00007;00166;1
00007;00171;1
00007;00256;2
00007;00370;1
00007;00371;4
00007;00386;1
00007;00410;1
00007;00439;2
00007;00535;1
00007;00623;4
00007;00633;1
00007;00634;1
00007;00640;1
00007;00669;1
00007;00831;1
00007;00853;1
00007;00856;4
00007;00857;1
00007;00921;1
00007;01027;1
00007;01054;2
00007;01056;1
00007;01057;1
00007;01059;1
00007;01064;3
00007;01161;1
00008;00023;4
00008;00169;1
00008;00322;1
00008;00370;1
00008;00386;1
00008;00435;1
00008;00439;2
00008;00463;1
00008;00496;1
00008;00497;1
00008;00498;1
00008;00499;4
00008;00503;1
00008;00605;1
00008;00683;3
00008;00710;1
00008;00750;1
00008;00771;1
00008;00867;1
00008;00875;1
00008;00944;1
00008;01125;3
00009;00165;4
00009;00174;1
00009;00362;1
00009;00370;1
00009;00414;4
00009;00443;1
00009;00794;3
00009;00992;2
00009;01040;1
00009;01115;2
00010;00030;4
00010;00126;2
00010;00157;4
00010;00170;4
00010;00296;4
00010;00301;1
00010;00322;1
00010;00370;2
00010;00413;4
00010;00443;3
00010;00581;4
00010;00676;4
00010;00715;1
00010;00722;1
00010;00728;3
00010;00758;1
00010;00782;2
00010;00835;1
00010;00878;4
00010;00941;1
00010;01115;4
00010;01215;1
00010;01218;4
00010;01234;1
00010;01239;3
00011;00036;1
00011;00046;1
00011;00096;3
00011;00186;1
00011;00301;1
00011;00428;2
00011;00518;3
00011;00649;1
00011;00652;1
00011;00659;1
00011;00772;2
00011;00796;4
00011;00798;4
00011;00799;1
00011;00835;1
00011;00837;1
00011;00908;1
00011;00909;4
00011;00991;4
00011;01119;1
00011;01178;1
00011;01226;1
00012;00070;4
00012;00181;1
00012;00443;3
00012;00466;3
00012;00755;1
00012;00918;1
00012;01115;1
00013;00156;4
00013;00301;4
00013;00314;4
00013;00322;3
00013;00370;1
00013;00443;3
00013;00462;2
00013;00522;1
00013;00643;1
00013;00695;3
00013;00715;1
00013;00719;1
00013;00722;1
00013;00763;2
00013;00764;1
00013;00791;4
00013;00822;1
00013;00900;1
00013;00902;3
00013;00978;1
00013;01017;1
00013;01033;1
00013;01097;1
00013;01124;1
00014;00005;2
00014;00089;1
00014;00092;1
00014;00131;4
00014;00135;1
00014;00150;4
00014;00156;1
00014;00203;1
00014;00232;1
00014;00233;4
00014;00234;4
00014;00291;1
00014;00297;1
00014;00314;1
00014;00319;1
00014;00344;4
00014;00345;3
00014;00356;1
00014;00367;3
00014;00370;3
00014;00379;1
00014;00405;4
00014;00413;1
00014;00417;4
00014;00419;1
00014;00421;1
00014;00424;1
00014;00462;4
00014;00465;3
00014;00492;1
00014;00584;2
00014;00602;3
00014;00616;3
00014;00635;4
00014;00662;1
00014;00695;1
00014;00719;2
00014;00777;3
00014;00791;4
00014;00809;1
00014;00815;4
00014;00852;4
00014;00889;1
00014;00899;4
00014;00930;1
00014;00941;3
00014;01000;1
00014;01008;3
00014;01013;2
00014;01100;4
00014;01117;3
00014;01124;4
00014;01135;2
00014;01206;1
00014;01234;2
00015;00017;1
00015;00059;4
00015;00063;1
00015;00072;1
00015;00091;1
00015;00095;1
00015;00097;1
00015;00098;1
00015;00099;4
00015;00135;1
00015;00149;3
00015;00174;3
00015;00197;2
00015;00204;4
00015;00205;4
00015;00226;1
00015;00232;1
00015;00238;1
00015;00266;4
00015;00297;1
00015;00301;4
00015;00322;4
00015;00339;4
00015;00350;1
00015;00354;1
00015;00355;4
00015;00364;4
00015;00370;4
00015;00385;4
00015;00398;2
00015;00408;1
00015;00410;3
00015;00413;1
00015;00414;1
00015;00420;1
00015;00422;4
00015;00423;4
00015;00424;1
00015;00426;1
00015;00434;1
00015;00443;4
00015;00474;3
00015;00545;4
00015;00549;4
00015;00550;1
00015;00601;4
00015;00603;2
00015;00611;1
00015;00642;2
00015;00643;1
00015;00657;1
00015;00673;1
00015;00690;4
00015;00700;4
00015;00720;4
00015;00722;4
00015;00724;1
00015;00725;2
00015;00729;1
00015;00731;1
00015;00735;1
00015;00747;2
00015;00752;4
00015;00763;3
00015;00764;2
00015;00767;1
00015;00792;1
00015;00794;1
00015;00816;1
00015;00822;1
00015;00833;1
00015;00837;1
00015;00844;1
00015;00853;1
00015;00854;3
00015;00857;1
00015;00863;2
00015;00870;4
00015;00875;1
00015;00888;1
00015;00889;1
00015;00900;2
00015;00944;2
00015;00990;1
00015;00993;1
00015;00994;4
00015;01000;2
00015;01013;2
00015;01016;2
00015;01027;1
00015;01033;1
00015;01040;1
00015;01093;1
00015;01098;1
00015;01115;1
00015;01162;2
00015;01184;4
00015;01187;1
00015;01192;4
00015;01195;1
00015;01226;1
00015;01232;1
00015;01234;1
00015;01235;3
00016;00005;1
00016;00010;1
00016;00017;1
00016;00036;1
00016;00041;2
00016;00046;4
00016;00069;1
00016;00072;1
00016;00089;4
00016;00092;1
00016;00095;4
00016;00097;1
00016;00098;1
00016;00126;1
00016;00129;3
00016;00130;1
00016;00132;1
00016;00134;1
00016;00135;2
00016;00148;1
00016;00150;1
00016;00168;1
00016;00181;3
00016;00182;4
00016;00186;4
00016;00189;1
00016;00197;1
00016;00202;1
00016;00205;1
00016;00212;1
00016;00225;1
00016;00226;1
00016;00238;2
00016;00240;3
00016;00255;1
00016;00288;1
00016;00290;1
00016;00292;1
00016;00297;1
00016;00298;2
00016;00301;4
00016;00314;3
00016;00320;1
00016;00322;4
00016;00330;1
00016;00331;1
00016;00333;2
00016;00350;2
00016;00357;1
00016;00359;2
00016;00364;4
00016;00370;4
00016;00376;3
00016;00386;1
00016;00396;4
00016;00398;2
00016;00413;1
00016;00421;1
00016;00424;3
00016;00428;2
00016;00434;1
00016;00443;4
00016;00462;1
00016;00466;4
00016;00468;4
00016;00472;1
00016;00473;1
00016;00475;4
00016;00478;2
00016;00489;1
00016;00490;1
00016;00510;1
00016;00512;1
00016;00518;3
00016;00522;3
00016;00550;2
00016;00553;1
00016;00559;1
00016;00581;1
00016;00582;2
00016;00586;1
00016;00594;3
00016;00615;1
00016;00616;1
00016;00641;3
00016;00642;3
00016;00643;2
00016;00649;4
00016;00656;1
00016;00657;2
00016;00658;2
00016;00659;4
00016;00660;2
00016;00662;2
00016;00673;1
00016;00676;1
00016;00708;1
00016;00709;1
00016;00711;1
00016;00715;1
00016;00719;2
00016;00722;4
00016;00723;1
00016;00724;1
00016;00725;1
00016;00727;4
00016;00729;1
00016;00730;1
00016;00731;1
00016;00735;1
00016;00755;3
00016;00756;4
00016;00758;1
00016;00762;1
00016;00763;3
00016;00764;1
00016;00767;1
00016;00770;2
00016;00772;4
00016;00783;1
00016;00791;2
00016;00797;1
00016;00799;4
00016;00809;1
00016;00810;1
00016;00816;2
00016;00822;1
00016;00834;4
00016;00835;1
00016;00837;1
00016;00844;1
00016;00867;1
00016;00870;1
00016;00872;3
00016;00875;1
00016;00882;1
00016;00888;1
00016;00889;1
00016;00893;1
00016;00896;1
00016;00901;3
00016;00902;2
00016;00919;1
00016;00928;1
00016;00932;1
00016;00935;4
00016;00937;2
00016;00938;1
00016;00941;1
00016;00943;2
00016;00944;2
00016;00970;1
00016;00974;1
00016;00984;2
00016;00990;1
00016;00991;1
00016;00993;4
00016;00994;1
00016;01000;2
00016;01002;2
00016;01016;3
00016;01017;4
00016;01023;1
00016;01033;1
00016;01037;1
00016;01051;1
00016;01066;1
00016;01076;1
00016;01080;1
00016;01098;1
00016;01101;1
00016;01115;1
00016;01135;1
00016;01154;3
00016;01158;1
00016;01189;1
00016;01192;4
00016;01226;3
00016;01232;1
00016;01234;2
00017;00049;4
00017;00089;3
00017;00101;1
00017;00128;1
00017;00132;1
00017;00135;1
00017;00153;1
00017;00189;1
00017;00233;1
00017;00238;1
00017;00297;1
00017;00298;1
00017;00301;1
00017;00330;1
00017;00333;1
00017;00357;4
00017;00359;3
00017;00370;3
00017;00428;2
00017;00443;2
00017;00450;1
00017;00506;1
00017;00643;2
00017;00660;1
00017;00662;3
00017;00688;4
00017;00722;1
00017;00729;1
00017;00730;2
00017;00731;1
