Documento;Palavra;TF-IDF
00001;SIGNIFICANCE;3.844402817753167
00001;PSEUDOMONAS;2.8258332367585934
00001;AERUGINOSA;2.812039914626258
00001;INFECTION;2.636591237120065
00001;RESPIRATORY;2.4485390056171252
00001;TRACT;3.170673723050323
00001;CYSTIC;0.1327086858730592
00001;FIBROSIS;0.12989310447289548
00001;PATIENTS;0.5330179353603528
00001;STUDIED;2.1537394653964808
00001;MEANS;3.2523517540645903
00001;IMMUNOELECTROPHORETICAL;7.102499355774649
00001;ANALYSIS;2.8829916505985422
00001;SERA;2.812039914626258
00001;NUMBER;2.6026896854443837
00001;PRECIPITINS;4.011456902416333
00001;CONCENTRATIONS;2.392969154462315
00001;SERUM;1.6687773522204092
00001;PROTEINS;3.5761388311584876
00001;ADDITION;3.0594480879400985
00001;CLINICAL;1.7601651038098378
00001;RADIOGRAPHICAL;7.102499355774649
00001;STATUS;3.6059917943081685
00001;LUNGS;3.518980417318539
00001;EVALUATED;3.3648297374912803
00001;USING;2.411151473545505
00001;SCORING;5.493061443340548
00001;SYSTEMS;3.967005139845499
00001;DEMONSTRATED;2.8398194787333333
00001;MAXIMUM;4.212127597878484
00001;ONE;1.5730702682632254
00001;SIGNIFICANTLY;2.1680254226439573
00001;CHANGED;5.310739886546594
00001;COMPARED;2.0335951535544172
00001;MATCHED;3.4915814431304244
00001;CONTROL;1.7697805625092797
00001;PERSONS;4.1067670822206574
00001;NOTABLY;5.716204994654758
00001;IGG;3.4136199016607125
00001;IGA;4.057976918051226
00001;ELEVATED;2.8258332367585934
00001;ACUTE;3.388927289070341
00001;PHASE;3.7352035257881746
00001;LATTER;3.883623530906448
00001;SUGGESTING;3.967005139845499
00001;ACTIVE;3.464913196048263
00001;TISSUE;3.190476350346503
00001;DAMAGE;3.967005139845499
00001;HAPTOGLOBIN;6.003887067106539
00001;CORRELATED;3.3412992400810864
00001;MANY;2.695780108510396
00001;ACCOMPANIED;4.46344202615939
00001;RESULTS;1.7601651038098378
00001;INDICATE;3.190476350346503
00001;PROTECTIVE;5.310739886546594
00001;VALUE;3.1135153092103742
00074;SIGNIFICANCE;3.844402817753167
00074;CYSTIC;0.1327086858730592
00074;FIBROSIS;0.12989310447289548
00074;PATIENTS;0.5330179353603528
00074;STUDIED;2.1537394653964808
00074;MAXIMUM;4.212127597878484
00074;ONE;1.5730702682632254
00074;CHILDREN;1.3435975818973682
00074;WEEKS;3.967005139845499
00074;SIX;2.9753649707295575
00074;CF;1.2026020021921573
00074;CONTROLS;2.132686056198648
00074;DEVELOPMENT;3.0081547935525483
00074;DISCUSSED;2.411151473545505
00074;POSITIVE;2.591639849257799
00074;SKIN;2.613862986042509
00074;FINDINGS;2.4775265424903776
00074;POSSIBLE;2.4485390056171252
00074;CASES;2.439060261662582
00074;GENETIC;2.6026896854443837
00074;PARENTS;2.8829916505985422
00074;SUGGESTED;2.9916254916013374
00074;REQUIRED;3.967005139845499
00074;CULTURE;3.0249619118689295
00074;TIME;2.7330515033076273
00074;RELATION;4.1580603766082085
00074;CULTURED;3.3183097218563877
00074;FIBROBLASTS;2.745790529085057
00074;METACHROMASIA;4.269286011718433
00074;CYTOPLASMIC;5.310739886546594
00074;PHENOMENON;4.1067670822206574
00074;TOLUIDINE;6.409352175214703
00074;BLUE;4.799914262780603
00074;RECORDED;4.90527477843843
00074;AVERAGE;3.518980417318539
00074;AMETACHROMATIC;5.310739886546594
00074;HETEROGENEITY;4.269286011718433
00078;SIGNIFICANCE;3.844402817753167
00078;CYSTIC;0.1327086858730592
00078;FIBROSIS;0.12989310447289548
00078;NORMAL;1.1676051601550612
00078;CONDITIONS;2.683658747978051
00078;FOUND;1.4893712493865785
00078;ALSO;1.8346411967113208
00078;WITHIN;2.812039914626258
00078;FORMATION;3.967005139845499
00078;DISCUSSED;2.411151473545505
00078;OCCURRING;4.1580603766082085
00078;OBSERVED;2.1188927340663124
00078;FOLLOWING;3.3412992400810864
00078;VARIETY;3.4915814431304244
00078;UPON;3.636763452974922
00078;CHEMICAL;4.269286011718433
00078;INCLUSION;5.716204994654758
00078;BODIES;5.493061443340548
00078;ASPECTS;3.518980417318539
00078;BASED;3.295836866004329
00078;PAPER;3.5761388311584876
00078;MORPHOLOGICAL;5.023057814094813
00078;INTRACISTERNAL;7.102499355774649
00078;GRANULES;5.716204994654758
00078;PALADE;7.102499355774649
00078;CISTERNAE;7.102499355774649
00078;ROUGH;5.493061443340548
00078;SURFACED;7.102499355774649
00078;ENDOPLASMIC;7.102499355774649
00078;RETICULUM;7.102499355774649
00078;EXPERIMENTAL;3.6685121512895025
00078;INDUCED;3.464913196048263
00078;ANIMALS;4.90527477843843
00078;ADMINISTRATIONS;7.102499355774649
00078;ARTIFICIAL;5.156589206719335
00078;HIBERNATION;7.102499355774649
00078;COLD;6.003887067106539
00078;EXPOSURE;4.5375499983131125
00078;TENTATIVELY;7.102499355774649
00078;CLASSIFIED;5.716204994654758
00078;TYPES;3.464913196048263
00078;FATE;6.409352175214703
00121;SIGNIFICANCE;3.844402817753167
00121;CYSTIC;0.1327086858730592
00121;FIBROSIS;0.12989310447289548
00121;USING;2.411151473545505
00121;DEMONSTRATED;2.8398194787333333
00121;ONE;1.5730702682632254
00121;NORMAL;1.1676051601550612
00121;HETEROZYGOTES;2.4973291697865574
00121;OVERLAP;4.269286011718433
00121;DIFFERENT;2.4296705213127425
00121;CONTENT;3.132207442222527
00121;INCREASED;1.8767526820614475
00121;WITHIN;2.812039914626258
00121;BLOOD;2.527788377271266
00121;STAINING;4.799914262780603
00121;CELL;2.4296705213127425
00121;HYPOTHESIS;3.388927289070341
00121;STILL;3.7013019741124933
00121;MAY;1.3723995728010743
00121;BASIS;3.1135153092103742
00121;REPORT;3.0249619118689295
00121;MADE;2.9753649707295575
00121;ET;3.3412992400810864
00121;AL;3.4389377096450024
00121;REPORTED;2.4203681286504293
00121;POSSIBLE;2.4485390056171252
00121;GENETIC;2.6026896854443837
00121;RECENTLY;3.7013019741124933
00121;MUCOPOLYSACCHARIDE;5.023057814094813
00121;OBSERVED;2.1188927340663124
00121;OBSERVATIONS;3.1512556371932217
00121;STORED;5.493061443340548
00121;CONFIRMED;3.518980417318539
00121;CULTURE;3.0249619118689295
00121;MEDIUM;3.518980417318539
00121;HOWEVER;2.2903150004022312
00121;SHORT;3.967005139845499
00121;TERM;3.5471512942852352
00121;PARTIAL;4.394449154672439
00121;VARIABLE;4.1067670822206574
00121;PROBABLY;2.943616272414977
00121;FIBROBLAST;3.5471512942852352
00121;CULTURED;3.3183097218563877
00121;HOMOZYGOTES;3.190476350346503
00121;NORMALS;3.8066624897703196
00121;MUCOPOLYSACCHARIDOSES;6.003887067106539
00121;CELLULAR;3.8066624897703196
00121;PROCESSES;4.212127597878484
00121;ORDER;3.770294845599445
00121;PROPOSED;3.7013019741124933
00121;METACHROMASIA;4.269286011718433
00121;WHITE;3.883623530906448
00121;CYTOPLASMIC;5.310739886546594
00121;TYPES;3.464913196048263
00121;CULTURES;3.4136199016607125
00121;NOTED;3.3412992400810864
00121;RAISED;3.7013019741124933
00121;RETENTION;4.90527477843843
00121;UPTAKE;4.394449154672439
00121;HEPARIN;5.023057814094813
00121;INVOLVED;3.518980417318539
00121;DANES;5.716204994654758
00121;BEARN;6.003887067106539
00121;REFLECTED;5.023057814094813
00121;PINOCYTOSIS;7.102499355774649
00121;MUCOPOLYSACCHARIDES;5.493061443340548
00121;ROBERTSON;7.102499355774649
00121;CORRESPONDED;5.716204994654758
00121;MENTIONED;4.799914262780603
00121;BAFALLUY;7.102499355774649
00121;OVERLOADED;7.102499355774649
00121;ENDOCYTOSIS;7.102499355774649
00121;EXOCYTOSIS;7.102499355774649
00121;INCONSTANT;7.102499355774649
00121;CERTAINLY;5.716204994654758
00121;STANDARDISATION;7.102499355774649
00121;ELIMINATE;5.310739886546594
00121;OBLIGATORY;5.493061443340548
00121;QUESTION;4.5375499983131125
00121;RELEVANCE;5.310739886546594
00121;UNCLEAR;5.493061443340548
00147;SIGNIFICANCE;3.844402817753167
00147;PATIENTS;0.5330179353603528
00147;NUMBER;2.6026896854443837
00147;CONCENTRATIONS;2.392969154462315
00147;CONTROL;1.7697805625092797
00147;MANY;2.695780108510396
00147;SUBJECTS;2.1825184299465237
00147;MEASURED;2.5807107787256087
00147;ARTICLE;3.7352035257881746
00147;CF;1.2026020021921573
00147;FOUND;1.4893712493865785
00147;VARIES;5.493061443340548
00147;SWEAT;2.1972245773362196
00147;RANGES;5.023057814094813
00147;PRODUCED;3.2106790576640223
00147;SIGNIFICANT;1.8346411967113208
00147;HIGHER;2.3489091646682843
00147;RATE;2.812039914626258
00147;HYPOTHESIS;3.388927289070341
00147;MIGHT;2.928112085879012
00147;SHOW;3.0420563452282297
00147;WELL;2.366300907380153
00147;AUTHORS;4.1067670822206574
00147;MADE;2.9753649707295575
00147;WOULD;2.7330515033076273
00147;FINDINGS;2.4775265424903776
00147;GENERALLY;3.6685121512895025
00147;PROVE;4.704604082976278
00147;LITTLE;3.464913196048263
00147;REQUIRED;3.967005139845499
00147;DIFFERENCE;2.411151473545505
00147;LOWER;2.467770367545013
00147;DIFFERENCES;2.3489091646682843
00147;HOWEVER;2.2903150004022312
00147;MANNER;4.5375499983131125
00147;SUGGEST;2.4296705213127425
00147;RECENT;3.5471512942852352
00147;CALCIUM;3.6059917943081685
00147;MODERATE;4.212127597878484
00147;CONSTANT;4.1067670822206574
00147;PROBABLY;2.943616272414977
00147;INFORMATION;3.636763452974922
00147;RATES;3.7352035257881746
00147;ATTEMPT;4.011456902416333
00147;FAILED;4.329910633534867
00147;MEASUREMENTS;3.5761388311584876
00147;UNDETECTABLE;5.716204994654758
00147;REALLY;5.493061443340548
00147;MUCH;3.2523517540645903
00147;REFUTE;6.409352175214703
00147;AVERAGE;3.518980417318539
00147;BELIEVED;4.704604082976278
00147;DISPROVE;6.409352175214703
00147;COMPARABLE;3.770294845599445
00147;MINUTES;4.46344202615939
00147;CONCERNING;4.394449154672439
00147;GIVES;4.617592705986649
00147;PATHOPHYSIOLOGIC;5.310739886546594
00147;ACTUALLY;5.156589206719335
00147;HYPERPERMEABILITY;6.409352175214703
00147;CA;5.716204994654758
00147;TREMENDOUS;7.102499355774649
00147;UNPREDICTABLY;7.102499355774649
00147;VARY;4.704604082976278
00147;SWEATING;5.493061443340548
00147;INAPPROPRIATE;5.493061443340548
00147;TOOK;6.003887067106539
00147;IMMEDIATELY;5.310739886546594
00147;IONTOPHORESIS;4.704604082976278
00157;SIGNIFICANCE;3.844402817753167
00157;CYSTIC;0.1327086858730592
00157;FIBROSIS;0.12989310447289548
00157;DISEASE;1.1570787471680737
00157;MALABSORPTION;3.3648297374912803
00157;EXAMINED;2.636591237120065
00157;CASE;2.8829916505985422
00157;EFFECTS;2.613862986042509
00157;HISTORY;3.5471512942852352
00157;SECTION;5.493061443340548
00157;INCLUDE;3.3648297374912803
00157;DEFICIENCY;2.7330515033076273
00157;TOCOPHEROL;5.156589206719335
00157;VARIETY;3.4915814431304244
00157;INTESTINAL;3.231298344866758
00157;LACK;3.5471512942852352
00157;VITAMIN;3.6685121512895025
00157;CAUSES;4.011456902416333
00157;STATES;3.8066624897703196
00157;DIETARY;3.636763452974922
00157;UNCLEAR;5.493061443340548
00157;INVOLVING;3.967005139845499
00157;CONSIDERS;6.409352175214703
00179;SIGNIFICANCE;3.844402817753167
00179;INFECTION;2.636591237120065
00179;RESPIRATORY;2.4485390056171252
00179;TRACT;3.170673723050323
00179;CYSTIC;0.1327086858730592
00179;FIBROSIS;0.12989310447289548
00179;PATIENTS;0.5330179353603528
00179;ONE;1.5730702682632254
00179;SIGNIFICANTLY;2.1680254226439573
00179;CORRELATED;3.3412992400810864
00179;RESULTS;1.7601651038098378
00179;YEAR;2.8398194787333333
00179;PERIOD;2.8978067363836826
00179;FOUND;1.4893712493865785
00179;YEARS;2.132686056198648
00179;INVESTIGATED;2.943616272414977
00179;PROTEIN;2.384000484479554
00179;PER;2.695780108510396
00179;OCCURRENCE;3.7352035257881746
00179;PRODUCED;3.2106790576640223
00179;CROSSED;4.5375499983131125
00179;IMMUNOELECTROPHORESIS;4.269286011718433
00179;BACTERIA;3.8066624897703196
00179;PREVALENCE;3.967005139845499
00179;CENT;3.4915814431304244
00179;STRAINS;3.095166170542178
00179;CLINIC;4.617592705986649
00179;FOLLOWED;3.883623530906448
00179;STAPHYLOCOCCUS;3.924445525426703
00179;AUREUS;3.7352035257881746
00179;SHOW;3.0420563452282297
00179;WELL;2.366300907380153
00179;DISCUSSED;2.411151473545505
00179;POSSIBLE;2.4485390056171252
00179;DECADE;6.003887067106539
00179;RECENTLY;3.7013019741124933
00179;TREATMENT;2.0786188349283723
00179;DECREASED;2.8683928511773895
00179;DESPITE;3.924445525426703
00179;INCLUDING;3.2106790576640223
00179;CHLORIDE;2.959364629383116
00179;TESTED;3.295836866004329
00179;HALF;3.7013019741124933
00179;CONSISTENT;3.3648297374912803
00179;SENSITIVITY;3.967005139845499
00179;RECENT;3.5471512942852352
00179;ANTIBODIES;3.967005139845499
00179;PROPERTIES;3.5471512942852352
00179;ISOLATED;3.1512556371932217
00179;PRECIPITATING;4.704604082976278
00179;ANTIBIOTIC;3.924445525426703
00179;DYNAMIC;6.003887067106539
00179;EIGHTY;5.716204994654758
00179;ISOLATES;4.617592705986649
00179;NINETY;5.716204994654758
00179;RESISTANT;4.057976918051226
00179;PRODUCE;4.1067670822206574
00179;JUDGED;4.704604082976278
00179;EPIDEMIC;5.716204994654758
00179;APPARENTLY;4.1580603766082085
00179;TYPES;3.464913196048263
00179;SITUATION;4.704604082976278
00179;SUCCESSFUL;4.704604082976278
00179;PATHOLOGY;4.5375499983131125
00179;PHAGE;5.493061443340548
00179;TYPED;6.003887067106539
00179;POLICY;6.409352175214703
00179;GRADUALLY;5.716204994654758
00179;REPLACED;6.003887067106539
00179;MULTIRESISTANT;7.102499355774649
00179;METHICILLIN;6.409352175214703
00179;INFREQUENT;6.003887067106539
00179;REPEATEDLY;6.003887067106539
00179;CHEMOTHERAPY;4.799914262780603
00179;CELLBOUND;7.102499355774649
00179;EXTRACELLULAR;4.617592705986649
00179;LIPASE;5.716204994654758
00179;MERCURY;7.102499355774649
00185;SIGNIFICANCE;3.844402817753167
00185;CYSTIC;0.1327086858730592
00185;FIBROSIS;0.12989310447289548
00185;PATIENTS;0.5330179353603528
00185;STATUS;3.6059917943081685
00185;MAXIMUM;4.212127597878484
00185;PERSONS;4.1067670822206574
00185;LIFE;3.170673723050323
00185;CHILDREN;1.3435975818973682
00185;PANCREATIC;2.0985530498291896
00185;AGE;2.0026329279504504
00185;CF;1.2026020021921573
00185;ANALYZED;4.1067670822206574
00185;FOUND;1.4893712493865785
00185;INDIVIDUALS;2.8258332367585934
00185;EARLY;2.758693933920965
00185;THREE;2.204659555823737
00185;YEARS;2.132686056198648
00185;OLD;3.295836866004329
00185;INCREASED;1.8767526820614475
00185;ACID;2.2583122693160576
00185;GROUP;1.9785353763713898
00185;CONDITION;3.2523517540645903
00185;INFLUENCE;3.8066624897703196
00185;SIGNIFICANT;1.8346411967113208
00185;SIMILAR;2.306708810177908
00185;REPORTED;2.4203681286504293
00185;EIGHT;3.6059917943081685
00185;SEVERE;2.85400411372529
00185;DIAGNOSED;3.5761388311584876
00185;AMINO;4.212127597878484
00185;AFFECTED;3.0420563452282297
00185;DETERIORATION;4.394449154672439
00185;OBSERVED;2.1188927340663124
00185;PULMONARY;1.9667009187243871
00185;GASTROINTESTINAL;3.5471512942852352
00185;STATE;3.3183097218563877
00185;DATA;2.4973291697865574
00185;SHOWN;2.8683928511773895
00185;LOWER;2.467770367545013
00185;DIFFERENCES;2.3489091646682843
00185;BANDS;4.617592705986649
00185;EMPLOYED;3.7352035257881746
00185;LESS;2.4020189899822326
00185;TIME;2.7330515033076273
00185;ENZYME;2.636591237120065
00185;LONG;3.388927289070341
00185;TERM;3.5471512942852352
00185;POOR;4.057976918051226
00185;NUTRITIONAL;3.8066624897703196
00185;MEDICAL;3.5471512942852352
00185;CENTER;4.269286011718433
00185;CONTAINED;3.967005139845499
00185;SURVIVED;4.617592705986649
00185;POPULATION;3.0249619118689295
00185;IMPAIRMENT;4.212127597878484
00185;AMONG;2.8829916505985422
00185;WHOSE;4.212127597878484
00185;EXPERIENCE;3.7352035257881746
00185;GROWTH;3.0771476650394995
00185;MARKEDLY;4.1580603766082085
00185;RATES;3.7352035257881746
00185;GLUCOSE;3.967005139845499
00185;NATIONAL;4.799914262780603
00185;ACHIEVED;4.394449154672439
00185;MORBIDITY;4.5375499983131125
00185;MORTALITY;4.1067670822206574
00185;WEIGHT;2.7717660154883177
00185;YET;3.388927289070341
00185;DEATH;4.1067670822206574
00185;PARAMETERS;4.269286011718433
00185;SUPPLEMENTS;4.617592705986649
00185;DIETARY;3.636763452974922
00185;SUPPLEMENT;5.156589206719335
00185;POLYMER;5.493061443340548
00185;EQUALLY;4.617592705986649
00185;TYPE;3.2523517540645903
00185;COMPARE;4.704604082976278
00185;HEALTH;3.5761388311584876
00185;MIXTURE;5.156589206719335
00185;DUKE;6.409352175214703
00185;INSTITUTES;5.716204994654758
00185;HEIGHTS;7.102499355774649
00185;WEIGHTS;6.003887067106539
00185;SKEWED;7.102499355774649
00185;TOWARD;4.46344202615939
00185;PERCENTILE;7.102499355774649
00185;SUPPLEMENTATION;4.617592705986649
00185;PROVEN;4.617592705986649
00185;LOBER;7.102499355774649
00185;MEDIAN;6.003887067106539
00185;REALISTIC;6.409352175214703
00185;ADULTHOOD;4.46344202615939
00185;YOUNGER;4.5375499983131125
00185;END;4.617592705986649
00185;HEIGHT;4.394449154672439
00185;LINEAR;4.90527477843843
00185;BEGUN;5.716204994654758
00185;CONTINUE;5.023057814094813
00185;TAKE;5.493061443340548
00195;SIGNIFICANCE;3.844402817753167
00195;CYSTIC;0.1327086858730592
00195;FIBROSIS;0.12989310447289548
00195;PATIENTS;0.5330179353603528
00195;COMPARED;2.0335951535544172
00195;CONTROL;1.7697805625092797
00195;NORMAL;1.1676051601550612
00195;SUBJECTS;2.1825184299465237
00195;ADULT;3.190476350346503
00195;DISEASE;1.1570787471680737
00195;MEASURED;2.5807107787256087
00195;AGE;2.0026329279504504
00195;INCREASED;1.8767526820614475
00195;PER;2.695780108510396
00195;TRACHEAL;3.770294845599445
00195;RATE;2.812039914626258
00195;THERAPEUTIC;3.6059917943081685
00195;MAY;1.3723995728010743
00195;POTENTIAL;3.5761388311584876
00195;PULMONARY;1.9667009187243871
00195;PATHOGENESIS;3.3648297374912803
00195;LESS;2.4020189899822326
00195;MUCOUS;3.8066624897703196
00195;FAILURE;3.3648297374912803
00195;MUCOSA;4.011456902416333
00195;TRANSPORT;3.0594480879400985
00195;MM;4.46344202615939
00195;ACROSS;4.90527477843843
00195;AVERAGE;3.518980417318539
00195;ROLE;2.8683928511773895
00195;MIN;4.329910633534867
00195;ADMINISTRATION;3.3648297374912803
00195;BETA;4.1067670822206574
00195;OBSERVATION;3.6059917943081685
00195;PLAY;4.269286011718433
00195;PLUS;3.924445525426703
00195;MINUS;4.269286011718433
